Location,Claim_Count
East Heatherport,12
Lake Andrewmouth,9
Jamesfurt,9
South Kathryn,7
New Carol,7
East John,7
Timothychester,6
Thomasville,6
Phillipsfort,6
East Stephanie,6
East Austin,6
Devinmouth,6
Zimmermanville,5
Williamsmouth,5
Stevenchester,5
Perezport,5
North William,5
North Stevenbury,5
North Sherrimouth,5
North Kevinhaven,5
New Curtis,5
Maxwellburgh,5
Lake Stephen,5
Jordanborough,5
Frederickside,5
East Terrancemouth,5
Clarkberg,5
Anneville,5
West Whitneymouth,4
West Kevin,4
West Billborough,4
West Adam,4
Watsonstad,4
South Stefanietown,4
South Lisaberg,4
South Justinborough,4
South Bradleyburgh,4
Roachhaven,4
Port Robin,4
Port Karen,4
North Mike,4
North Ianbury,4
New Denise,4
New Baileyfort,4
Maysside,4
Louismouth,4
Lewisberg,4
Leslieville,4
Jeffreyshire,4
Jasonmouth,4
East Tammy,4
East Sandratown,4
East Candace,4
Donnaborough,4
Davidville,4
Coleburgh,4
Carolchester,4
Brittanyside,4
Bradleyport,4
Allenton,4
Youngchester,3
Woodport,3
Westmouth,3
West Sharonview,3
West Lauraborough,3
West Karen,3
West Danielborough,3
West Adammouth,3
Walterborough,3
Vazquezshire,3
Toddstad,3
Toddberg,3
South Tiffanyfort,3
South Jillshire,3
South Christopherborough,3
South Alicia,3
Shortfurt,3
Russellfurt,3
Reidland,3
Port Robertport,3
Port Patrick,3
Port Kevinburgh,3
Port Jacob,3
Pereztown,3
Paulmouth,3
Patrickfort,3
North Victoriastad,3
North Tom,3
North Keith,3
North Katherineshire,3
North Katelyn,3
North James,3
North Charlesside,3
New Travisshire,3
New John,3
New Jessica,3
New Ginaborough,3
New Evanport,3
Muellermouth,3
Michaelton,3
Michaelport,3
Mendezmouth,3
Marymouth,3
Manuelhaven,3
Lindseyland,3
Lindseybury,3
Lewishaven,3
Lesterstad,3
Lake Theresa,3
Lake Mistyton,3
Lake Kari,3
Lake April,3
Lake Amymouth,3
Joneshaven,3
Jonathanstad,3
Jonathanhaven,3
Jasonstad,3
Hestermouth,3
Harrisonbury,3
Gutierrezshire,3
Erikatown,3
East Roberthaven,3
East Garyton,3
East Elizabethberg,3
East Bernard,3
East Angelafort,3
East Andrewland,3
Darrylchester,3
Danachester,3
Cunninghambury,3
Cisnerostown,3
Cameronside,3
Brittanyville,3
Brittanyland,3
Bentleyburgh,3
Basstown,3
Andreaborough,3
Amberton,3
Adambury,3
Yatesside,2
Williamsonmouth,2
West Omarside,2
West Miaside,2
West Melissastad,2
West Juliabury,2
West Amandafurt,2
Wadeville,2
Taylormouth,2
Stephanieberg,2
Steeleport,2
South Thomasville,2
South Randy,2
South Nicole,2
South Michaelberg,2
South Kellyville,2
South Kellyberg,2
South Jacobport,2
South Edwardtown,2
South Andrewport,2
South Allisonburgh,2
Smithfort,2
Shirleyland,2
Samanthabury,2
Ruizmouth,2
Richardsonhaven,2
Raybury,2
Priceland,2
Port Victoria,2
Port Troychester,2
Port Melissa,2
Port Markview,2
Port Marcland,2
Port Eric,2
Port Emilyburgh,2
Port Emily,2
Port Donnaton,2
Port Andrea,2
Port Amandamouth,2
Pearsonchester,2
Pamelaberg,2
Padillatown,2
Olsenstad,2
North Sharonburgh,2
North Nicholas,2
North Katelynland,2
North Julieburgh,2
North Gary,2
North Douglasfurt,2
North Destiny,2
North Crystal,2
North Amanda,2
New Richard,2
New Rachel,2
New Michelle,2
New Joel,2
New Jacob,2
New Dawnborough,2
New Bobbytown,2
New Amanda,2
New Aaronberg,2
Murrayborough,2
Morriston,2
Meghanfurt,2
Medinatown,2
Maynardstad,2
Marthaside,2
Marissaville,2
Manningshire,2
Madisonfort,2
Longland,2
Linchester,2
Leeburgh,2
Laurietown,2
Lake Vanessa,2
Lake Tamara,2
Lake Shelby,2
Lake Regina,2
Lake Rachael,2
Lake Michaelfurt,2
Lake Michael,2
Lake Lorrainefort,2
Lake Latasha,2
Lake Kristentown,2
Lake Karenfurt,2
Lake Justin,2
Lake Joseph,2
Lake Jessicamouth,2
Lake Jason,2
Lake Donna,2
Lake Christopherburgh,2
Lake Cathy,2
Lake Alicia,2
Kevinfort,2
Keithburgh,2
Joshuastad,2
Jonestown,2
Jonathanmouth,2
Johnton,2
Jessicaland,2
Jeffreybury,2
Hollyhaven,2
Herbertbury,2
Heatherview,2
Harrishaven,2
Garciatown,2
Gaineschester,2
Francisshire,2
Edwardsbury,2
East Samantha,2
East Robert,2
East Meganfort,2
East Lisa,2
East Jacobchester,2
East Craig,2
East Anthony,2
East Angela,2
East Andrea,2
Derekport,2
Deckermouth,2
Deborahfurt,2
Davidland,2
Davidborough,2
Collinsmouth,2
Colemanton,2
Christopherton,2
Christinamouth,2
Chelseaside,2
Charlesmouth,2
Castilloport,2
Callahanside,2
Brownshire,2
Brandyberg,2
Bentonfurt,2
Batesstad,2
Bartonborough,2
Aprilberg,2
Andersonmouth,2
Alexanderchester,2
Zimmermanton,1
Wilsonview,1
Wilsonport,1
Williamview,1
Williamsfort,1
Westbury,1
West Vanessafort,1
West Tinamouth,1
West Stevenport,1
West Samantha,1
West Robert,1
West Michael,1
West Melissa,1
West Lucasville,1
West Lisamouth,1
West Larry,1
West Kara,1
West Dawn,1
West Dannyland,1
West Corey,1
West Catherine,1
West Brandon,1
West Anthonymouth,1
Watsonton,1
Walterton,1
Walkerfurt,1
Villastad,1
Villaborough,1
Velazquezview,1
Valdezborough,1
Tinamouth,1
Timothyview,1
Thorntonbury,1
Tammyside,1
Sylviabury,1
Strongmouth,1
Spenceland,1
South Tylerstad,1
South Michellechester,1
South Kevinhaven,1
South Johnshire,1
South Jerryside,1
South Douglashaven,1
South Davidside,1
South Danielle,1
South Charles,1
South Brenda,1
South Anne,1
Solisburgh,1
Snyderton,1
Sharonton,1
Sandrastad,1
Samueltown,1
Roystad,1
Rogersmouth,1
Rodriguezview,1
Robertshire,1
Rebeccaburgh,1
Ramseyfort,1
Port Tanyaburgh,1
Port Staceymouth,1
Port Richardshire,1
Port Peter,1
Port Melanie,1
Port Matthew,1
Port Lisamouth,1
Port Lesliebury,1
Port Gregton,1
Port Dustin,1
Port Dianaberg,1
Port Davidshire,1
Port Connie,1
Port Bryce,1
Port Anita,1
Penabury,1
Patrickmouth,1
North Tracy,1
North Sharonberg,1
North Ryan,1
North Nathan,1
North Melanie,1
North Mariahchester,1
North Lisaland,1
North Garybury,1
North Edwinchester,1
North Ebony,1
North Catherine,1
North Caitlin,1
North Ashley,1
North Aaron,1
Nolanmouth,1
Nicoletown,1
New Zachary,1
New Rodneyville,1
New Robertstad,1
New Ricky,1
New Ninashire,1
New Matthew,1
New Lisa,1
New Larry,1
New Jamesburgh,1
New Hannah,1
New Erica,1
New Douglas,1
New Daniel,1
New Calebberg,1
New Billy,1
Mortonfort,1
Moralesside,1
Mooreview,1
Mitchellmouth,1
Millerview,1
Michaelview,1
Meganshire,1
Mcclainfurt,1
Matthewbury,1
Markport,1
Marcstad,1
Lisamouth,1
Latoyaberg,1
Lake Vanessaland,1
Lake Travis,1
Lake Traceyburgh,1
Lake Ryanbury,1
Lake Maria,1
Lake Lauraton,1
Lake Jasmin,1
Lake Jamestown,1
Lake James,1
Lake Heather,1
Lake George,1
Lake Diane,1
Lake Coryhaven,1
Lake Christophermouth,1
Justinhaven,1
Jordanhaven,1
Johnsonborough,1
Jenniferville,1
Jeffreyport,1
Huberstad,1
Henrychester,1
Heatherside,1
Grahamside,1
Ginaview,1
Gibsonfort,1
Garzaville,1
Gardnerfort,1
Fowlerbury,1
Floresville,1
Evansmouth,1
East Timothy,1
East Sonyaport,1
East Sheena,1
East Shanestad,1
East Richardside,1
East Nicholasbury,1
East Lori,1
East Kevin,1
East Johnburgh,1
East Emilyburgh,1
East Emily,1
East Elizabeth,1
East Edwinburgh,1
East Deniseborough,1
East Courtneymouth,1
East Brittanyland,1
East Ashleyshire,1
East Amyfurt,1
East Aaron,1
Deborahland,1
Davisview,1
Davidport,1
Christopherstad,1
Christinetown,1
Chelseyfort,1
Carlbury,1
Brownchester,1
Brownberg,1
Brookeland,1
Boylechester,1
Bonillahaven,1
Blaketown,1
Benjaminstad,1
Bellport,1
Anthonyton,1
Anthonyshire,1
Anthonyborough,1
Andersonville,1
Amandashire,1
Allenborough,1
