Food_Name,Claim_Count
Soup,5
Chicken,5
Fish,5
Rice,4
Chicken,4
Salad,4
Soup,4
Dairy,4
Fish,4
Vegetables,4
Rice,4
Dairy,4
Fish,4
Dairy,4
Salad,4
Bread,4
Vegetables,4
Salad,4
Dairy,4
Dairy,3
Soup,3
Pasta,3
Rice,3
Dairy,3
Dairy,3
Salad,3
Pasta,3
Chicken,3
Fish,3
Chicken,3
Soup,3
Soup,3
Bread,3
Fruits,3
Fruits,3
Fish,3
Fish,3
Rice,3
Fish,3
Rice,3
Pasta,3
Rice,3
Pasta,3
Chicken,3
Soup,3
Dairy,3
Soup,3
Dairy,3
Rice,3
Salad,3
Pasta,3
Chicken,3
Chicken,3
Dairy,3
Fruits,3
Pasta,3
Bread,3
Salad,3
Fish,3
Fruits,3
Fish,3
Salad,3
Soup,3
Chicken,3
Fish,3
Rice,3
Fish,3
Dairy,3
Soup,3
Fish,3
Fish,3
Dairy,3
Bread,3
Vegetables,3
Bread,3
Pasta,3
Rice,3
Bread,2
Bread,2
Chicken,2
Salad,2
Rice,2
Fish,2
Fish,2
Salad,2
Vegetables,2
Vegetables,2
Vegetables,2
Fruits,2
Bread,2
Dairy,2
Soup,2
Chicken,2
Rice,2
Rice,2
Fruits,2
Salad,2
Vegetables,2
Soup,2
Rice,2
Dairy,2
Fish,2
Fish,2
Rice,2
Bread,2
Dairy,2
Bread,2
Soup,2
Salad,2
Dairy,2
Bread,2
Salad,2
Vegetables,2
Dairy,2
Pasta,2
Rice,2
Salad,2
Fruits,2
Vegetables,2
Bread,2
Fish,2
Rice,2
Vegetables,2
Fruits,2
Rice,2
Dairy,2
Fish,2
Vegetables,2
Dairy,2
Salad,2
Bread,2
Dairy,2
Bread,2
Fish,2
Vegetables,2
Pasta,2
Soup,2
Fruits,2
Bread,2
Rice,2
Rice,2
Pasta,2
Pasta,2
Soup,2
Bread,2
Salad,2
Salad,2
Salad,2
Vegetables,2
Vegetables,2
Rice,2
Chicken,2
Dairy,2
Dairy,2
Bread,2
Soup,2
Rice,2
Pasta,2
Fruits,2
Salad,2
Fruits,2
Pasta,2
Bread,2
Chicken,2
Dairy,2
Rice,2
Chicken,2
Dairy,2
Dairy,2
Dairy,2
Salad,2
Vegetables,2
Dairy,2
Soup,2
Soup,2
Fruits,2
Pasta,2
Bread,2
Vegetables,2
Rice,2
Chicken,2
Fish,2
Rice,2
Chicken,2
Vegetables,2
Fish,2
Salad,2
Fish,2
Salad,2
Salad,2
Pasta,2
Rice,2
Dairy,2
Rice,2
Pasta,2
Soup,2
Rice,2
Fruits,2
Fruits,2
Fruits,2
Soup,2
Soup,2
Soup,2
Soup,2
Chicken,2
Dairy,2
Rice,2
Soup,2
Chicken,2
Soup,2
Salad,2
Bread,2
Fish,2
Bread,2
Fruits,2
Bread,2
Vegetables,2
Salad,2
Chicken,2
Fish,2
Fruits,2
Rice,2
Salad,2
Fish,2
Chicken,2
Chicken,2
Bread,2
Salad,2
Vegetables,2
Salad,2
Chicken,2
Soup,2
Fish,2
Fruits,2
Soup,2
Soup,2
Chicken,2
Fish,2
Rice,2
Bread,2
Pasta,2
Vegetables,2
Fish,2
Pasta,2
Pasta,2
Vegetables,2
Soup,2
Soup,2
Soup,2
Fruits,2
Vegetables,2
Chicken,2
Vegetables,2
Fish,2
Fruits,1
Vegetables,1
Dairy,1
Pasta,1
Fruits,1
Chicken,1
Soup,1
Rice,1
Chicken,1
Bread,1
Bread,1
Salad,1
Bread,1
Rice,1
Bread,1
Fruits,1
Chicken,1
Pasta,1
Fish,1
Pasta,1
Salad,1
Vegetables,1
Fruits,1
Salad,1
Soup,1
Fish,1
Rice,1
Rice,1
Fish,1
Chicken,1
Chicken,1
Rice,1
Dairy,1
Fruits,1
Rice,1
Pasta,1
Soup,1
Vegetables,1
Bread,1
Pasta,1
Salad,1
Vegetables,1
Dairy,1
Rice,1
Fruits,1
Soup,1
Soup,1
Bread,1
Rice,1
Rice,1
Dairy,1
Chicken,1
Fish,1
Soup,1
Rice,1
Rice,1
Rice,1
Bread,1
Pasta,1
Soup,1
Fish,1
Bread,1
Pasta,1
Fish,1
Fish,1
Pasta,1
Chicken,1
Vegetables,1
Pasta,1
Fish,1
Rice,1
Soup,1
Dairy,1
Rice,1
Salad,1
Dairy,1
Salad,1
Salad,1
Pasta,1
Chicken,1
Vegetables,1
Rice,1
Bread,1
Dairy,1
Rice,1
Chicken,1
Pasta,1
Bread,1
Rice,1
Pasta,1
Soup,1
Rice,1
Soup,1
Salad,1
Pasta,1
Fruits,1
Chicken,1
Salad,1
Bread,1
Chicken,1
Rice,1
Chicken,1
Fruits,1
Pasta,1
Fruits,1
Soup,1
Vegetables,1
Salad,1
Pasta,1
Soup,1
Chicken,1
Rice,1
Fruits,1
Rice,1
Salad,1
Chicken,1
Rice,1
Soup,1
Chicken,1
Pasta,1
Chicken,1
Soup,1
Rice,1
Fruits,1
Salad,1
Dairy,1
Pasta,1
Chicken,1
Dairy,1
Soup,1
Chicken,1
Dairy,1
Rice,1
Rice,1
Fish,1
Rice,1
Bread,1
Chicken,1
Fruits,1
Vegetables,1
Vegetables,1
Vegetables,1
Pasta,1
Fish,1
Fruits,1
Bread,1
Fish,1
Fruits,1
Vegetables,1
Soup,1
Salad,1
Fish,1
Salad,1
Rice,1
Vegetables,1
Bread,1
Bread,1
Vegetables,1
Dairy,1
Salad,1
Chicken,1
Rice,1
Soup,1
Salad,1
Bread,1
Chicken,1
Soup,1
Chicken,1
Soup,1
Soup,1
Dairy,1
Pasta,1
Chicken,1
Bread,1
Dairy,1
Chicken,1
Fruits,1
Chicken,1
Soup,1
Vegetables,1
Fish,1
Vegetables,1
Dairy,1
Rice,1
Pasta,1
Soup,1
Fish,1
Dairy,1
Vegetables,1
Pasta,1
Dairy,1
Vegetables,1
Fish,1
Fish,1
Fish,1
Pasta,1
Rice,1
Salad,1
Pasta,1
Dairy,1
Salad,1
Chicken,1
Dairy,1
Fruits,1
Vegetables,1
Rice,1
Salad,1
Soup,1
Soup,1
Rice,1
Bread,1
Rice,1
Soup,1
Fruits,1
Pasta,1
Rice,1
Chicken,1
Salad,1
Dairy,1
Fish,1
Vegetables,1
Salad,1
Dairy,1
Pasta,1
Fish,1
Fruits,1
Vegetables,1
Salad,1
Fish,1
Bread,1
Rice,1
Soup,1
Rice,1
Vegetables,1
Fruits,1
Rice,1
Soup,1
Dairy,1
Rice,1
Vegetables,1
Rice,1
Vegetables,1
Pasta,1
Vegetables,1
Salad,1
Pasta,1
Rice,1
Vegetables,1
Bread,1
Bread,1
Pasta,1
Chicken,1
Salad,1
Bread,1
Salad,1
Bread,1
Rice,1
Rice,1
Soup,1
Pasta,1
Fruits,1
Bread,1
Salad,1
Salad,1
Soup,1
Bread,1
Pasta,1
Salad,1
Vegetables,1
Salad,1
Bread,1
Soup,1
Soup,1
Dairy,1
Dairy,1
Bread,1
Rice,1
Salad,1
Pasta,1
Pasta,1
Bread,1
Bread,1
Chicken,1
Salad,1
Salad,1
Salad,1
Rice,1
Fish,1
Pasta,1
Dairy,1
Salad,1
Dairy,1
Vegetables,1
Soup,1
Pasta,1
Soup,1
Chicken,1
Dairy,1
Fruits,1
Soup,1
Pasta,1
Vegetables,1
Fish,1
Fruits,1
Chicken,1
Fish,1
Bread,1
Dairy,1
Soup,1
Salad,1
Chicken,1
Soup,1
Bread,1
Dairy,1
Fish,1
Vegetables,1
Chicken,1
Salad,1
Chicken,1
Pasta,1
Fruits,1
Bread,1
Fish,1
Fish,1
Chicken,1
Chicken,1
Fruits,1
Dairy,1
Chicken,1
Dairy,1
Fruits,1
Chicken,1
Bread,1
Salad,1
Fish,1
Chicken,1
Chicken,1
Bread,1
Salad,1
Dairy,1
Fruits,1
Dairy,1
Pasta,1
Vegetables,1
Fish,1
Dairy,1
Soup,1
Fish,1
Rice,1
Bread,1
Salad,1
Chicken,1
Chicken,1
Pasta,1
Chicken,1
Fish,1
Dairy,1
Vegetables,1
Rice,1
Bread,1
Salad,1
Rice,1
Dairy,1
Soup,1
Soup,1
Bread,1
Chicken,1
Vegetables,1
Dairy,1
Salad,1
Vegetables,1
Rice,1
Bread,1
Vegetables,1
Rice,1
Soup,1
Pasta,1
Soup,1
Fruits,1
Rice,1
Fruits,1
Fish,1
Vegetables,1
Pasta,1
Chicken,1
Bread,1
Soup,1
Bread,1
Pasta,1
Salad,1
Rice,1
Fruits,1
Pasta,1
Soup,0
Fruits,0
Soup,0
Rice,0
Rice,0
Pasta,0
Bread,0
Salad,0
Pasta,0
Rice,0
Bread,0
Vegetables,0
Salad,0
Rice,0
Bread,0
Rice,0
Bread,0
Rice,0
Dairy,0
Fruits,0
Soup,0
Chicken,0
Pasta,0
Rice,0
Rice,0
Bread,0
Pasta,0
Rice,0
Vegetables,0
Salad,0
Vegetables,0
Salad,0
Bread,0
Rice,0
Bread,0
Rice,0
Chicken,0
Soup,0
Dairy,0
Vegetables,0
Fruits,0
Soup,0
Salad,0
Rice,0
Vegetables,0
Rice,0
Chicken,0
Soup,0
Rice,0
Chicken,0
Vegetables,0
Fruits,0
Bread,0
Pasta,0
Fruits,0
Fruits,0
Salad,0
Fish,0
Dairy,0
Soup,0
Salad,0
Soup,0
Pasta,0
Vegetables,0
Fish,0
Bread,0
Soup,0
Fish,0
Fish,0
Salad,0
Fruits,0
Fish,0
Fish,0
Vegetables,0
Rice,0
Dairy,0
Vegetables,0
Soup,0
Soup,0
Fish,0
Vegetables,0
Salad,0
Dairy,0
Rice,0
Salad,0
Bread,0
Soup,0
Soup,0
Fish,0
Pasta,0
Salad,0
Fruits,0
Pasta,0
Dairy,0
Pasta,0
Bread,0
Vegetables,0
Dairy,0
Rice,0
Fish,0
Soup,0
Salad,0
Chicken,0
Fish,0
Fruits,0
Fish,0
Salad,0
Chicken,0
Chicken,0
Salad,0
Dairy,0
Vegetables,0
Pasta,0
Vegetables,0
Bread,0
Vegetables,0
Chicken,0
Chicken,0
Fish,0
Pasta,0
Bread,0
Pasta,0
Chicken,0
Chicken,0
Dairy,0
Chicken,0
Bread,0
Chicken,0
Salad,0
Fruits,0
Fruits,0
Pasta,0
Vegetables,0
Vegetables,0
Pasta,0
Vegetables,0
Soup,0
Soup,0
Fruits,0
Fish,0
Chicken,0
Soup,0
Vegetables,0
Soup,0
Soup,0
Fish,0
Dairy,0
Pasta,0
Dairy,0
Pasta,0
Dairy,0
Vegetables,0
Pasta,0
Fruits,0
Pasta,0
Fish,0
Pasta,0
Dairy,0
Bread,0
Fish,0
Vegetables,0
Pasta,0
Pasta,0
Rice,0
Fruits,0
Salad,0
Pasta,0
Salad,0
Chicken,0
Dairy,0
Soup,0
Salad,0
Bread,0
Salad,0
Fruits,0
Dairy,0
Chicken,0
Rice,0
Fruits,0
Salad,0
Fruits,0
Salad,0
Fish,0
Pasta,0
Dairy,0
Soup,0
Fruits,0
Fish,0
Salad,0
Vegetables,0
Vegetables,0
Bread,0
Pasta,0
Chicken,0
Rice,0
Dairy,0
Pasta,0
Fish,0
Bread,0
Fish,0
Pasta,0
Salad,0
Salad,0
Salad,0
Vegetables,0
Salad,0
Fruits,0
Dairy,0
Fruits,0
Salad,0
Pasta,0
Vegetables,0
Vegetables,0
Bread,0
Soup,0
Soup,0
Chicken,0
Soup,0
Fish,0
Bread,0
Pasta,0
Rice,0
Chicken,0
Soup,0
Fruits,0
Dairy,0
Soup,0
Bread,0
Vegetables,0
Salad,0
Bread,0
Vegetables,0
Soup,0
Pasta,0
Bread,0
Salad,0
Rice,0
Chicken,0
Rice,0
Dairy,0
Bread,0
Chicken,0
Dairy,0
Chicken,0
Chicken,0
Pasta,0
Pasta,0
Vegetables,0
Pasta,0
Dairy,0
Soup,0
Rice,0
Fruits,0
Fish,0
Salad,0
Dairy,0
Fruits,0
Bread,0
Soup,0
Fruits,0
Dairy,0
Rice,0
Chicken,0
Dairy,0
Dairy,0
Soup,0
Dairy,0
Salad,0
Fish,0
Dairy,0
Chicken,0
Bread,0
Dairy,0
Bread,0
Rice,0
Bread,0
Chicken,0
Fruits,0
Pasta,0
Soup,0
Chicken,0
Dairy,0
Dairy,0
Bread,0
Pasta,0
Fruits,0
Rice,0
Salad,0
Vegetables,0
Pasta,0
Pasta,0
Vegetables,0
Bread,0
Chicken,0
Bread,0
Fruits,0
Bread,0
Salad,0
Pasta,0
Dairy,0
Dairy,0
Rice,0
Pasta,0
Fruits,0
Pasta,0
Fish,0
Fruits,0
Soup,0
Soup,0
Fish,0
Chicken,0
Vegetables,0
Bread,0
Salad,0
Rice,0
Soup,0
Dairy,0
Bread,0
Chicken,0
Rice,0
Soup,0
Soup,0
Pasta,0
Pasta,0
Chicken,0
Rice,0
Chicken,0
Fruits,0
Fruits,0
Chicken,0
Fish,0
Rice,0
Vegetables,0
Fruits,0
Soup,0
Chicken,0
Fish,0
Fish,0
Fish,0
Dairy,0
Dairy,0
Chicken,0
Fish,0
Vegetables,0
Dairy,0
Soup,0
Fruits,0
Rice,0
Dairy,0
Soup,0
Salad,0
Fish,0
Salad,0
